epoch,acc,loss,val_acc,val_loss
0,0.821240060854,0.384299048579,0.841760063148,0.372308849451
1,0.925160052276,0.198220221855,0.850560062408,0.371646771507
2,0.966120029306,0.100172171361,0.845200060725,0.401512953825
3,0.986160012913,0.0434787126725,0.839480060601,0.563098258047
4,0.990200009274,0.0290359297462,0.837640060425,0.653961344889
5,0.994320005345,0.0179401620139,0.833440060782,0.737296273018
6,0.994960004759,0.0154046420912,0.834920062232,0.718860989174
7,0.995360004354,0.0142196567505,0.827200062013,1.0327752988
8,0.994920004845,0.0142099668088,0.828000061178,0.879984236203
9,0.996840002942,0.0100494664145,0.829400062561,0.848403317321
