epoch,acc,loss,val_acc,val_loss
0,0.32314,1.84565393909,0.4507,1.52315326653
1,0.45598,1.50075776196,0.5146,1.34463700771
2,0.51354,1.35950859955,0.5587,1.25961753521
3,0.55344,1.26024409641,0.5947,1.14667420406
4,0.58588,1.17308988594,0.6186,1.08857322998
5,0.61052,1.10739200008,0.6219,1.07426232967
6,0.62922,1.05059466768,0.6517,0.991619757462
7,0.64578,1.00937559008,0.6655,0.945905563927
8,0.66058,0.965507819405,0.6619,0.953792664623
9,0.67224,0.936202371807,0.6835,0.898235153484
10,0.68086,0.907297447433,0.6883,0.882850491047
11,0.69104,0.881337705307,0.7071,0.839006513691
12,0.70056,0.861264168215,0.7029,0.839667492962
13,0.70614,0.840774695091,0.7157,0.823566793633
14,0.71116,0.825691658087,0.7163,0.8162574193
15,0.71914,0.809552802906,0.7278,0.793041890717
16,0.7234,0.796947396488,0.7314,0.782245547771
17,0.7283,0.783520305243,0.7342,0.777502336788
18,0.73264,0.774485177927,0.7191,0.846986974144
19,0.7342,0.766451095667,0.7351,0.765874078083
20,0.73894,0.758657542477,0.7454,0.74663140831
21,0.7423,0.747474262094,0.7434,0.754970949364
22,0.74454,0.742898330755,0.7444,0.731111324692
23,0.7488,0.740634982872,0.7413,0.750905981636
24,0.74806,0.736522512684,0.7508,0.727725806427
25,0.75054,0.72856813468,0.7522,0.724863219738
26,0.7534,0.721707079582,0.7553,0.721761090088
27,0.75804,0.713975088444,0.7489,0.734873604965
28,0.75716,0.712909100723,0.7547,0.732801547146
29,0.7587,0.706427952585,0.764,0.692274169731
30,0.76062,0.704991418505,0.7576,0.706918899345
31,0.7625,0.701254708719,0.7549,0.720859522247
32,0.7664,0.696570446262,0.7697,0.674042824364
33,0.76678,0.689765208931,0.7634,0.684986598682
34,0.76684,0.691718402786,0.7582,0.70117150507
35,0.7697,0.681990224266,0.7627,0.688107415009
36,0.77092,0.682202736301,0.7657,0.706740631294
37,0.77114,0.68016871212,0.7683,0.701778647614
38,0.77364,0.676498406076,0.7522,0.728523659992
39,0.77414,0.668808156366,0.7669,0.690736464596
40,0.77704,0.667334560289,0.7715,0.67451889782
41,0.77516,0.661213630686,0.7686,0.692357803822
42,0.7763,0.660164282417,0.7713,0.679585335636
43,0.77936,0.660351629696,0.7704,0.690505569744
44,0.78142,0.65398214366,0.776,0.663859147549
45,0.77818,0.657228813086,0.7765,0.670850372696
46,0.78036,0.652985164757,0.7757,0.673887129879
47,0.7811,0.650976347485,0.7774,0.704301985168
48,0.78294,0.645002127199,0.7687,0.680395965862
49,0.78332,0.641342000027,0.7727,0.680522865677
50,0.78354,0.643325949965,0.7697,0.706929379177
51,0.78374,0.64550851655,0.7725,0.704496178722
52,0.78624,0.639275528831,0.7711,0.712701291656
53,0.78542,0.642606892443,0.7776,0.663027187061
54,0.78616,0.641362959375,0.7746,0.678883983707
55,0.785,0.641505042648,0.7708,0.688030458164
56,0.78642,0.636511347523,0.7755,0.672536142826
57,0.78558,0.635398975115,0.7834,0.659564042664
58,0.78676,0.634767641573,0.7863,0.650393684292
59,0.78846,0.634788382769,0.7795,0.71693665247
60,0.78744,0.636499412098,0.7704,0.697841968727
61,0.7904,0.633964056816,0.7874,0.651488430786
62,0.78994,0.630857291403,0.7677,0.69942497797
63,0.78854,0.632315696516,0.7768,0.679508419704
64,0.79202,0.62804800498,0.78,0.673328428268
65,0.78948,0.630857556577,0.786,0.652502450657
66,0.78894,0.632372394972,0.7682,0.696205935955
67,0.78994,0.627773145781,0.7703,0.726643979359
68,0.79002,0.631071963463,0.7838,0.649388224125
69,0.79058,0.623617497005,0.7837,0.665084238482
70,0.7911,0.62950659544,0.7736,0.678868240738
71,0.79026,0.628577355523,0.778,0.671339256954
72,0.79062,0.627410550661,0.772,0.690755608082
73,0.79044,0.627068429775,0.7738,0.699402911854
74,0.79098,0.625543859396,0.7703,0.703851067829
75,0.79022,0.624185506868,0.7663,0.726017917156
76,0.79028,0.626571459541,0.7775,0.696811992645
77,0.79176,0.625495486355,0.7814,0.671285194778
78,0.79286,0.626568197918,0.7679,0.717065228415
79,0.79352,0.621712542162,0.7636,0.73007069025
80,0.7894,0.631306818209,0.7585,0.751370977783
81,0.78966,0.628912662134,0.7727,0.685611981678
82,0.7894,0.631241205969,0.7845,0.67536554842
83,0.78994,0.627191033621,0.7669,0.697923711491
84,0.79154,0.628161892929,0.7733,0.690455015802
85,0.79016,0.627253945723,0.7746,0.695138224792
86,0.79082,0.636009607134,0.7702,0.714612067127
87,0.78922,0.634815547066,0.7865,0.68070510931
88,0.79312,0.624868276224,0.7796,0.675098369122
89,0.79282,0.628528897266,0.78,0.681788657188
90,0.79202,0.629239250793,0.7856,0.654628714609
91,0.78842,0.628488174562,0.7473,0.754912872791
92,0.79212,0.627970668592,0.7794,0.669359090233
93,0.79148,0.628361641684,0.7725,0.690070910072
94,0.79108,0.633729458098,0.7773,0.686806444979
95,0.7903,0.637190889149,0.7809,0.684011859417
96,0.79034,0.635541614876,0.7765,0.684623020458
97,0.7894,0.635153507977,0.7788,0.686277974319
98,0.7926,0.632159728098,0.747,0.789988755322
99,0.78964,0.632459815025,0.766,0.718533438015
100,0.78904,0.639317730007,0.7667,0.764962555981
101,0.7893,0.636401133432,0.7699,0.69814110527
