epoch,acc,loss,val_acc,val_loss
0,0.900550000064,0.327001966619,0.9771,0.0754351449512
1,0.96703333346,0.112066455738,0.9815,0.0555914313577
2,0.974500000032,0.085719592915,0.986,0.0439991951032
3,0.97816666673,0.0725969219456,0.9861,0.0391393001761
4,0.981716666667,0.0604439515462,0.9869,0.0387238173045
5,0.983500000064,0.0551255208234,0.9883,0.0334741454267
6,0.985083333397,0.051058474653,0.9899,0.0311791506207
7,0.986050000064,0.0467572079226,0.9895,0.0311350852283
8,0.987183333397,0.0433248551026,0.9902,0.0300160120296
9,0.987733333333,0.0408850275561,0.9899,0.0300176108326
10,0.98771666673,0.0393996135905,0.9897,0.0291742687433
11,0.989033333333,0.0369268673157,0.9903,0.0280793467374
