epoch,acc,loss,val_acc,val_loss
0,0.82359999516,0.382893475255,0.846559993982,0.359371425202
1,0.925399989104,0.19619479953,0.848199993777,0.378439617085
2,0.967119989085,0.0950669259462,0.842719994664,0.419996402635
3,0.984879992104,0.0450398149433,0.838959994936,0.552046014422
4,0.991959995079,0.0257148459868,0.836599995255,0.681455981044
5,0.994119995809,0.0192607667344,0.833799994707,0.770897874983
6,0.99415999577,0.016347362525,0.828559995484,0.819399000748
7,0.994119996023,0.0162076348256,0.833079994893,0.7941420776
8,0.995719996786,0.0126564251732,0.830879995131,0.863045581373
9,0.997239997983,0.00785755206695,0.827879995584,0.984188270105
