epoch,acc,loss,val_acc,val_loss
0,0.8028,0.406370241947,0.86992,0.304404369507
1,0.90128,0.242950941463,0.88752,0.269611681824
2,0.93224,0.173968302193,0.88876,0.271951804895
3,0.95596,0.120908153208,0.88156,0.329827464399
4,0.97084,0.0826046497184,0.88072,0.35471060053
5,0.9782,0.0608784876037,0.8808,0.409005264416
6,0.9814,0.0491217653725,0.87892,0.440927992365
7,0.98464,0.0419076337871,0.88344,0.45435582913
8,0.98892,0.0309519480591,0.8814,0.506639052804
9,0.98824,0.0308676523299,0.87516,0.528208602581
