epoch,acc,loss,val_acc,val_loss
0,0.402131136606,1.71582652092,0.9046,0.497645209599
1,0.693022557395,0.935119067802,0.9526,0.19804759742
2,0.795081420182,0.647957332937,0.9654,0.124661851391
3,0.845969033636,0.497499974364,0.9718,0.099721710933
4,0.877035504538,0.408137728402,0.9733,0.087424509868
5,0.894287239722,0.355353888166,0.9762,0.0772003521927
6,0.905549252536,0.318632104469,0.9776,0.0727463535728
7,0.915826882007,0.282756006708,0.9816,0.057521135157
8,0.923635210892,0.265118451518,0.9824,0.0553743164916
9,0.926871996797,0.249057153756,0.9835,0.0527789710752
10,0.934897223705,0.227342631479,0.9838,0.0514791681356
11,0.93866791244,0.214408624442,0.9859,0.0471394200014
12,0.941704484784,0.20556447647,0.986,0.0433330198158
13,0.944440736786,0.196107996909,0.9871,0.0416842092521
14,0.947794313935,0.185178555403,0.9875,0.039079423121
15,0.949429391351,0.179687129894,0.988,0.0393769047235
16,0.950513881474,0.172749815122,0.9886,0.0366012590147
17,0.953617191671,0.165601986548,0.9901,0.0358583832817
18,0.955652696209,0.161260843716,0.9868,0.0421066331936
19,0.955869594234,0.159804469853,0.9894,0.0347225119667
20,0.957521356113,0.15309487202,0.9902,0.0339257581693
21,0.959790443139,0.145370363409,0.9898,0.0335759260315
22,0.959573545115,0.14675413467,0.9897,0.0327050117921
23,0.962359850507,0.138995216338,0.9898,0.0321127393168
24,0.962243059263,0.138939883558,0.9901,0.0311779636395
25,0.962927122264,0.13624732219,0.9897,0.0318106519327
26,0.963294180459,0.133557484258,0.9908,0.0303808496274
27,0.965262947144,0.129520963226,0.9913,0.0299932867337
28,0.964812466631,0.129857573658,0.9908,0.0314911363818
29,0.96578016551,0.129291280593,0.9903,0.0339619301766
30,0.966213961559,0.125401737117,0.9906,0.0317426585394
31,0.967148291511,0.121782735964,0.9908,0.0310218062042
32,0.967615456487,0.118264466672,0.99,0.0298569182654
33,0.967431927389,0.12135364154,0.991,0.0297844428988
34,0.968466364122,0.119174143994,0.9912,0.0309727834158
35,0.969100373732,0.119923424673,0.9908,0.0291814847369
