epoch,acc,loss,val_acc,val_loss
0,0.896033333397,0.338062255247,0.9737,0.0821502143234
1,0.966200000064,0.114807813517,0.983,0.0503422517128
2,0.974616666698,0.0868684994857,0.9852,0.0426884737764
3,0.978200000095,0.0730171967864,0.9869,0.037522414522
4,0.981500000064,0.0624861739397,0.9879,0.0335636625658
5,0.983633333397,0.0547227377405,0.9893,0.0326335394753
6,0.98431666673,0.0514626901289,0.9892,0.0314757645304
7,0.985750000127,0.0471090822299,0.9893,0.0298620727551
8,0.987183333333,0.0445302145759,0.9901,0.0274682110513
9,0.987216666698,0.0430953274657,0.9901,0.0278327677451
10,0.98805,0.0392729388575,0.9904,0.0276528908994
11,0.988850000032,0.0384130333498,0.9893,0.0284705368493
