epoch,acc,loss,val_acc,val_loss
0,0.410352187834,1.68636042465,0.9228,0.44546872015
1,0.706770555259,0.889883181626,0.9547,0.188756524479
2,0.799869861185,0.630828101242,0.9636,0.133644311386
3,0.844534169781,0.500716733968,0.9683,0.110835629065
4,0.871596369461,0.42039978073,0.9713,0.0949492441937
5,0.89038307528,0.365652353463,0.9747,0.0843725939803
6,0.901811932728,0.330872291758,0.9763,0.0762599859834
7,0.911355445809,0.298622221996,0.9779,0.0726616272306
8,0.920214895889,0.273538906957,0.977,0.072070764365
9,0.924819807795,0.258557570487,0.9803,0.0611210551734
10,0.931526962093,0.239771703818,0.9814,0.0581971362376
11,0.935197544047,0.225919736522,0.9831,0.05311496474
12,0.938234116391,0.215561917319,0.9833,0.050372142694
13,0.942288441004,0.204270833152,0.9838,0.0515533933009
14,0.94582554725,0.193308269668,0.9845,0.049137530777
15,0.947076882007,0.187811276315,0.9866,0.0444496460779
16,0.950130138815,0.179812857629,0.9856,0.0474955532236
17,0.951948745328,0.17227483683,0.987,0.042508141598
18,0.953800720769,0.170417374263,0.9878,0.0398879248236
19,0.954785104111,0.163049090787,0.9881,0.0394522035073
20,0.95580285638,0.157038100615,0.9893,0.0368951930535
21,0.958622530699,0.146565318956,0.9893,0.0353042098674
22,0.958906166578,0.148082349149,0.9899,0.0341178306217
23,0.960324345969,0.14550236752,0.9893,0.0348794909572
24,0.961191938067,0.140937251922,0.9901,0.0322352144883
25,0.962660170849,0.138456930199,0.9905,0.0316628451271
26,0.962593432995,0.137226981051,0.9914,0.0305379969475
27,0.964195141484,0.134668362568,0.9914,0.0293209987016
28,0.964128403631,0.130405074854,0.9908,0.0317586430034
29,0.965046049119,0.126996044536,0.9912,0.0292431143453
30,0.965596636412,0.126262046974,0.9913,0.0306473410325
31,0.96631406834,0.123574133329,0.9914,0.0292297410568
32,0.966831286706,0.121770943185,0.9913,0.0283396499037
33,0.967648825414,0.119177395461,0.9919,0.0274642394575
34,0.967899092365,0.119741127758,0.9919,0.0259530861385
35,0.967865723438,0.118429330202,0.9921,0.0264065971653
