epoch,acc,loss,val_acc,val_loss
0,0.822479995227,0.382949477452,0.846679994106,0.357183541667
1,0.925559989166,0.196111038882,0.849119994044,0.379326198602
2,0.966959988952,0.0972430389174,0.842679994106,0.415299580403
3,0.985559992599,0.0440227830235,0.841399994683,0.549716514891
4,0.990959994388,0.0272322000986,0.834719995117,0.677463580835
5,0.993039995122,0.021375762053,0.834319994783,0.720668771051
6,0.994879996443,0.0168753663312,0.833799995351,0.755872005453
7,0.994799996448,0.0156989241842,0.833919995093,0.862954586556
8,0.99687999754,0.0101443202184,0.833639995217,0.802575000407
9,0.995839997315,0.0119981276018,0.82695999465,0.918500344917
